islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
12/07/2025,1801374784x120725100625peþynsatiþkatkipayi,-10.9,466878.54,102.01,ykb
12/07/2025,1801374784x120725100625peþynsatiþ,2179.95,466889.44,102.01,ykb
12/07/2025,1801374784x120725140625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.6,464709.49,102.01,ykb
12/07/2025,1801374784x120725140625uye_yþyery_ucrety_-_taksyt,-11.87,464710.09,102.01,ykb
12/07/2025,1801374784x120725140625taksytlysatiþkatkipayi,-31.0,464721.96,102.01,ykb
12/07/2025,1801374784x120725140625taksytsatiþ,1033.17,464752.96,102.01,ykb
11/07/2025,bsmv_elektronyk_fon_transfery_(eft)_ucrety-eft/alanya_ozkan_ki/virman,-7.62,463719.79,102.01,ykb
11/07/2025,elektronyk_fon_transfery_(eft)_ucrety-eft/alanya_ozkan_ki/virman,-152.35,463727.41,102.01,ykb
11/07/2025,gyden_eft_-_alanya_ozkan_kirtasyye_mat.yay.yns.tyc.ltd.þty_-_virman,-500000.0,463879.76,102.01,ykb
11/07/2025,1801374784x110725100725uye_yþyery_ucrety_-_peþyn_(bsmv),-45.58,963879.76,102.01,ykb
11/07/2025,1801374784x110725100725uye_yþyery_ucrety_-_peþyn,-911.49,963925.34,102.01,ykb
11/07/2025,1801374784x110725100725peþynsatiþ,48228.68,964836.83,102.01,ykb
11/07/2025,1801374784x110725310525peþynsatiþ,7897.25,916608.15,102.01,ykb
11/07/2025,1801374784x110725090625peþynsatiþkatkipayi,-9.03,908710.9,102.01,ykb
11/07/2025,1801374784x110725090625peþynsatiþ,1804.3,908719.93,102.01,ykb
11/07/2025,1801374784x110725130625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.86,906915.63,102.01,ykb
11/07/2025,1801374784x110725130625uye_yþyery_ucrety_-_taksyt,-17.23,906916.49,102.01,ykb
11/07/2025,1801374784x110725130625taksytlysatiþkatkipayi,-44.97,906933.72,102.01,ykb
11/07/2025,1801374784x110725130625taksytsatiþ,1499.0,906978.69,102.01,ykb
10/07/2025,1801374784x100725090725uye_yþyery_ucrety_-_peþyn_(bsmv),-27.04,905479.69,102.01,ykb
10/07/2025,1801374784x100725090725uye_yþyery_ucrety_-_peþyn,-540.67,905506.73,102.01,ykb
10/07/2025,1801374784x100725090725peþynsatiþ,28607.69,906047.4,102.01,ykb
10/07/2025,1801374784x100725300525peþynsatiþ,9358.6,877439.71,102.01,ykb
10/07/2025,1801374784x100725120625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.3,868081.11,102.01,ykb
10/07/2025,1801374784x100725120625uye_yþyery_ucrety_-_taksyt,-6.03,868081.41,102.01,ykb
10/07/2025,1801374784x100725120625taksytlysatiþkatkipayi,-10.5,868087.44,102.01,ykb
10/07/2025,1801374784x100725120625taksytsatiþ,524.75,868097.94,102.01,ykb
09/07/2025,gelen_havale_-ekrem_kasmuþ_-,12747.0,867573.19,102.01,ykb
09/07/2025,1801374784x090725080725uye_yþyery_ucrety_-_peþyn_(bsmv),-14.9,854826.19,102.01,ykb
09/07/2025,1801374784x090725080725uye_yþyery_ucrety_-_peþyn,-298.07,854841.09,102.01,ykb
09/07/2025,1801374784x090725080725peþynsatiþ,15771.5,855139.16,102.01,ykb
09/07/2025,1801374784x090725290525peþynsatiþ,7429.96,839367.66,102.01,ykb
09/07/2025,1801374784x090725120425uye_yþyery_ucrety_-_taksyt_(bsmv),-0.21,831937.7,102.01,ykb
09/07/2025,1801374784x090725120425uye_yþyery_ucrety_-_taksyt,-4.21,831937.91,102.01,ykb
09/07/2025,1801374784x090725120425taksytsatiþ,366.81,831942.12,102.01,ykb
08/07/2025,1801374784x080725070725uye_yþyery_ucrety_-_peþyn_(bsmv),-16.82,831575.31,102.01,ykb
08/07/2025,1801374784x080725070725uye_yþyery_ucrety_-_peþyn,-336.45,831592.13,102.01,ykb
08/07/2025,1801374784x080725070725peþynsatiþ,17802.75,831928.58,102.01,ykb
08/07/2025,1801374784x080725280525peþynsatiþ,5209.15,814125.83,102.01,ykb
